query_id,strategy,config_id,condition_id,context_tokens,prompt_tokens,completion_tokens,total_tokens,generation_cost_usd,query_embedding_seconds,search_seconds,assembly_seconds,generation_seconds,end_to_end_seconds,generated_at_utc,generation_model,prompt_sha256
q4eu_021,fixed_size,fs_256_50,rq3_fixed_size,1594,1815,1531,3346,0.00351575,0.30405941599747166,5.379100184654817e-05,0.0007707079930696636,16.074727958999574,16.379611873991962,2026-07-19T18:55:21.204737+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_022,fixed_size,fs_256_50,rq3_fixed_size,1534,1760,821,2581,0.002082,0.28637462499318644,5.379199865274131e-05,0.0007229589973576367,21.37354887498077,21.660700250969967,2026-07-19T18:55:57.564500+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_023,fixed_size,fs_256_50,rq3_fixed_size,1542,1782,1196,2978,0.0028375,0.2610218330009957,5.3542004025075585e-05,0.0007244169828481972,12.917022915993584,13.178822707981453,2026-07-19T18:56:19.572919+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_024,fixed_size,fs_256_50,rq3_fixed_size,1598,1818,2067,3885,0.0045885,0.30063533300562995,5.191699892748147e-05,0.0007534580072388053,29.98645062497235,30.287891332984145,2026-07-19T18:56:59.329492+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_025,fixed_size,fs_256_50,rq3_fixed_size,1487,1709,1572,3281,0.00357125,0.7125357920012902,5.1832997996825725e-05,0.0006805419980082661,16.29321550001623,17.006483667013526,2026-07-19T18:57:37.207280+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_026,fixed_size,fs_256_50,rq3_fixed_size,1732,1956,1415,3371,0.003319,0.2757571670008474,5.145799514139071e-05,0.0008167919877450913,14.00831050000852,14.284935916992254,2026-07-19T18:58:07.197086+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_027,fixed_size,fs_256_50,rq3_fixed_size,1657,1878,1362,3240,0.0031935,0.3055347920017084,5.212500400375575e-05,0.0007960410148371011,14.063860207999824,14.370243166020373,2026-07-19T18:58:31.507036+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_028,fixed_size,fs_256_50,rq3_fixed_size,1476,1705,1033,2738,0.00249225,0.2971704579977086,5.083299765828997e-05,0.0006780830153729767,12.44700704200659,12.74490641601733,2026-07-19T18:59:01.085855+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_029,fixed_size,fs_256_50,rq3_fixed_size,1856,2076,1407,3483,0.003333,0.2504376670040074,5.4750002163928e-05,0.0009086669888347387,16.53059079198283,16.781991875977837,2026-07-19T18:59:41.308199+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_030,fixed_size,fs_256_50,rq3_fixed_size,1574,1816,997,2813,0.002448,0.2727662919933209,5.129099736222997e-05,0.0007417089946102351,13.041998249973403,13.315557541958697,2026-07-19T19:00:06.494600+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_031,fixed_size,fs_256_50,rq3_fixed_size,1723,1948,1084,3032,0.002655,0.2917508749960689,5.420800152933225e-05,0.0008601669978816062,14.892819375003455,15.185484624998935,2026-07-19T19:00:32.864397+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_032,fixed_size,fs_256_50,rq3_fixed_size,1603,1806,854,2660,0.0021595,0.40325108300021384,5.30420002178289e-05,0.0007319579890463501,11.651223166991258,12.055259249980736,2026-07-19T19:00:52.440628+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_033,fixed_size,fs_256_50,rq3_fixed_size,1702,1923,1831,3754,0.00414275,0.4055772500068997,5.191699892748147e-05,0.0007792919932398945,24.570855167025,24.97726362602407,2026-07-19T19:01:24.628267+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_034,fixed_size,fs_256_50,rq3_fixed_size,1703,1924,711,2635,0.001903,0.28061612500459887,5.641699681291357e-05,0.0008067500020842999,9.45000945898937,9.731488750992867,2026-07-19T19:01:48.316776+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_035,fixed_size,fs_256_50,rq3_fixed_size,1674,1907,1759,3666,0.00399475,0.29063350000069477,5.100000271340832e-05,0.000807542004622519,22.737665124994237,23.029157167002268,2026-07-19T19:02:36.212397+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_036,fixed_size,fs_256_50,rq3_fixed_size,1575,1797,844,2641,0.00213725,0.3328406669970718,5.249999958323315e-05,0.000738417002139613,9.68713075001142,10.020762334010215,2026-07-19T19:03:14.347984+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_037,fixed_size,fs_256_50,rq3_fixed_size,1684,1929,568,2497,0.00161825,0.30628983300266555,5.100000271340832e-05,0.0008525409793946892,7.711839833005797,8.01903320699057,2026-07-19T19:03:25.651167+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_038,fixed_size,fs_256_50,rq3_fixed_size,1690,1927,778,2705,0.00203775,0.26053487500030315,5.070899351267144e-05,0.0007909159758128226,11.829115750006167,12.090492249975796,2026-07-19T19:03:47.436344+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_039,fixed_size,fs_256_50,rq3_fixed_size,1730,1938,1554,3492,0.0035925,0.2933194579964038,5.129200144438073e-05,0.0007718750275671482,28.33591270900797,28.630055334033386,2026-07-19T19:04:23.916299+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_040,fixed_size,fs_256_50,rq3_fixed_size,1620,1845,1413,3258,0.00328725,0.2580765840029926,5.104199954075739e-05,0.0007189169991761446,28.53169554201304,28.79054208501475,2026-07-19T19:05:06.897811+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_041,fixed_size,fs_256_50,rq3_fixed_size,1628,1866,2005,3871,0.0044765,0.2940686250003637,4.9458001740276814e-05,0.0007431249832734466,31.254993707989343,31.54985491597472,2026-07-19T19:05:50.909744+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_042,fixed_size,fs_256_50,rq3_fixed_size,1648,1875,833,2708,0.00213475,0.25497570900188293,5.0082999223377556e-05,0.0007553329924121499,14.029198625008576,14.284979750002094,2026-07-19T19:06:24.567501+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_043,fixed_size,fs_256_50,rq3_fixed_size,1651,1874,538,2412,0.0015445,0.2933975839987397,4.983299731975421e-05,0.000790167017839849,8.335586166998837,8.629823751012736,2026-07-19T19:06:52.114703+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_044,fixed_size,fs_256_50,rq3_fixed_size,1685,1908,723,2631,0.001923,0.3125980830009212,5.1250004617031664e-05,0.0007794580014888197,12.453827999997884,12.767256791004911,2026-07-19T19:07:17.777200+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_045,fixed_size,fs_256_50,rq3_fixed_size,1624,1853,816,2669,0.00209525,0.2606736669986276,4.958299541613087e-05,0.000752124993596226,14.696649374993285,14.958124749980925,2026-07-19T19:07:56.157801+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_046,fixed_size,fs_256_50,rq3_fixed_size,1746,1972,924,2896,0.002341,0.2691961669988814,4.90829988848418e-05,0.000844458001665771,11.423789207998198,11.69387891599763,2026-07-19T19:08:20.592928+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_047,fixed_size,fs_256_50,rq3_fixed_size,1723,1953,979,2932,0.00244625,0.29417883299902314,5.262500053504482e-05,0.0008219160081353039,26.06261204200564,26.357665416013333,2026-07-19T19:09:00.226799+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_048,fixed_size,fs_256_50,rq3_fixed_size,1677,1939,419,2358,0.00132275,0.274485874993843,5.129200144438073e-05,0.0007462920038960874,5.32663208397571,5.6019155429748935,2026-07-19T19:09:12.816886+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_049,fixed_size,fs_256_50,rq3_fixed_size,1733,1976,239,2215,0.000972,0.35996595799952047,5.104199954075739e-05,0.0008124169835355133,4.757113750005374,5.1179431669879705,2026-07-19T19:09:24.743877+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_050,fixed_size,fs_256_50,rq3_fixed_size,1677,1906,254,2160,0.0009845,0.29045591699832585,5.120800051372498e-05,0.000855291000334546,3.3090135419915896,3.6003759579907637,2026-07-19T19:09:39.685914+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_051,fixed_size,fs_256_50,rq3_fixed_size,1654,1884,886,2770,0.002243,0.24904183300532168,4.941700171912089e-05,0.0007542500097770244,16.276908250001725,16.526753750018543,2026-07-19T19:10:01.777430+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_052,fixed_size,fs_256_50,rq3_fixed_size,1672,1898,1061,2959,0.0025965,0.2582950830037589,5.1750001148320735e-05,0.0007650410116184503,23.71611483299057,23.975226707007096,2026-07-19T19:10:30.367269+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_053,fixed_size,fs_256_50,rq3_fixed_size,1674,1901,859,2760,0.00219325,0.3841507079996518,5.03330011270009e-05,0.000779957976192236,15.802410584001336,16.187391582978307,2026-07-19T19:10:52.180063+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_054,fixed_size,fs_256_50,rq3_fixed_size,1673,1909,612,2521,0.00170125,0.2871404999968945,5.054200300946832e-05,0.0008008750155568123,10.840954083978431,11.128946000993892,2026-07-19T19:11:11.174822+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_055,fixed_size,fs_256_50,rq3_fixed_size,1760,1996,761,2757,0.002021,0.25881541700073285,4.9708003643900156e-05,0.0008289580000564456,8.054390541976318,8.314084624980751,2026-07-19T19:11:27.185918+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_056,fixed_size,fs_256_50,rq3_fixed_size,1604,1844,1203,3047,0.002867,0.2864618329986115,5.025000427849591e-05,0.0007727500051259995,12.380491832998814,12.66777666600683,2026-07-19T19:11:47.330251+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_057,fixed_size,fs_256_50,rq3_fixed_size,1732,1974,950,2924,0.0023935,0.27506512500258395,4.920799983665347e-05,0.0008053749916143715,9.573859750002157,9.849779457996192,2026-07-19T19:12:15.550840+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_058,fixed_size,fs_256_50,rq3_fixed_size,1677,1939,557,2496,0.00159875,0.25489679200109094,5.0082999223377556e-05,0.0008465420105494559,8.781891958991764,9.037685376002628,2026-07-19T19:12:30.629375+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_059,fixed_size,fs_256_50,rq3_fixed_size,1655,1895,613,2508,0.00169975,0.41373229199962225,4.9915994168259203e-05,0.0007980419904924929,6.445090207998874,6.859670457983157,2026-07-19T19:12:42.628315+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_060,fixed_size,fs_256_50,rq3_fixed_size,1633,1861,1389,3250,0.00324325,0.3090769159971387,5.054200300946832e-05,0.0007359169831033796,11.913177499984158,12.22304087496741,2026-07-19T19:12:58.910546+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_061,fixed_size,fs_256_50,rq3_fixed_size,1733,1966,795,2761,0.0020815,0.39743825000186916,4.9792004574555904e-05,0.0007964590040501207,9.217100792011479,9.615385293021973,2026-07-19T19:13:16.631397+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_062,fixed_size,fs_256_50,rq3_fixed_size,1797,2031,686,2717,0.00187975,0.30297233299643267,5.004100239602849e-05,0.0008272909908555448,7.331280458020046,7.635130123009731,2026-07-19T19:13:26.531913+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_063,fixed_size,fs_256_50,rq3_fixed_size,1714,1960,629,2589,0.001748,0.3197944580024341,4.97090004500933e-05,0.0008119579870253801,5.29289191699354,5.613548041983449,2026-07-19T19:13:36.157870+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_064,fixed_size,fs_256_50,rq3_fixed_size,1751,1978,671,2649,0.0018365,0.2624899579968769,4.954200267093256e-05,0.0008125000167638063,5.689509542018641,5.952861542034952,2026-07-19T19:13:48.104045+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_065,fixed_size,fs_256_50,rq3_fixed_size,1691,1920,686,2606,0.001852,0.26393204199848697,5.066599987912923e-05,0.000831458019092679,6.644810375000816,6.909624541018275,2026-07-19T19:14:03.354176+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_066,fixed_size,fs_256_50,rq3_fixed_size,1739,1970,296,2266,0.0010845,0.26280866600427544,4.925000393996015e-05,0.000809333985671401,3.3670116669964045,3.6306789169902913,2026-07-19T19:14:15.150503+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_067,fixed_size,fs_256_50,rq3_fixed_size,1547,1795,1148,2943,0.00274475,0.2612722499980009,4.9957998271565884e-05,0.0007182089902926236,11.438921749999281,11.700962166985846,2026-07-19T19:14:30.552821+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_068,fixed_size,fs_256_50,rq3_fixed_size,1537,1750,801,2551,0.0020395,0.28508429099747445,5.0417002057656646e-05,0.0007401250186376274,8.752423833997454,9.038298667015624,2026-07-19T19:14:50.479355+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_069,fixed_size,fs_256_50,rq3_fixed_size,1618,1835,963,2798,0.00238475,0.37000670799898217,5.016600334784016e-05,0.0007903340156190097,10.80017266701907,11.171019875037018,2026-07-19T19:15:11.166925+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_070,fixed_size,fs_256_50,rq3_fixed_size,1638,1848,600,2448,0.001662,0.26462162500683917,5.0292001105844975e-05,0.0007786249916534871,7.16300654198858,7.428457083988178,2026-07-19T19:15:25.240774+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_071,fixed_size,fs_256_50,rq3_fixed_size,1547,1768,1256,3024,0.002954,0.2866585000010673,4.9957998271565884e-05,0.0007652500062249601,12.097923791006906,12.38539749901247,2026-07-19T19:16:08.546209+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_072,fixed_size,fs_256_50,rq3_fixed_size,1571,1797,1150,2947,0.00274925,0.25685687500663335,0.00010575000487733632,0.0007039159827399999,10.01579487498384,10.27346141597809,2026-07-19T19:16:24.211303+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_001,semantic,sem_50_256,rq3_semantic,948,1172,1019,2191,0.0021006,0.768968666998262,0.00011062499834224582,0.0004774999979417771,16.94777050000266,17.717327291997208,2026-07-19T18:44:44.109102+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_002,semantic,sem_50_256,rq3_semantic,848,1078,933,2011,0.0019051,0.26175795900053345,9.249999857274815e-05,0.00045808401773683727,19.549333791976096,19.81164233499294,2026-07-19T18:45:15.875618+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_003,semantic,sem_50_256,rq3_semantic,883,1107,506,1613,0.00105835,0.2550779999946826,8.849999721860513e-05,0.0003757090016733855,9.266477458004374,9.522019666997949,2026-07-19T18:45:45.783371+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_004,semantic,sem_50_256,rq3_semantic,835,1066,1017,2083,0.0020701,0.3059455420006998,8.95000048330985e-05,0.00041112498729489744,19.389670500007924,19.69611666700075,2026-07-19T18:46:15.921270+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_005,semantic,sem_50_256,rq3_semantic,1035,1263,811,2074,0.00168431,0.2620444580024923,8.36670005810447e-05,0.0004613329947460443,23.4779482090089,23.74053766700672,2026-07-19T18:46:53.502588+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_006,semantic,sem_50_256,rq3_semantic,619,848,485,1333,0.001182,0.2964690829976462,8.958300168160349e-05,0.00029133298085071146,9.098506250011269,9.395356248991448,2026-07-19T18:47:24.582060+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_007,semantic,sem_50_256,rq3_semantic,958,1192,778,1970,0.001854,0.28711337500135414,8.454199996776879e-05,0.0004538330249488354,19.503518707992043,19.791170458018314,2026-07-19T18:48:28.031410+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_008,semantic,sem_50_256,rq3_semantic,762,986,1136,2122,0.0025185,0.2711006249955972,9.125000360654667e-05,0.00035070799640379846,23.079716000007465,23.351258583003073,2026-07-19T18:49:17.276168+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_009,semantic,sem_50_256,rq3_semantic,734,959,854,1813,0.00194775,0.7496380419979687,9.029100328916684e-05,0.0003330000035930425,19.633186541992472,20.383247874997323,2026-07-19T18:50:06.876188+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
